	BrM1	BrM2	BrM3	BrM4	BrM5	BrM6	BrM7	BrM8	BrM9	BrM10	LT1	LT2	LT3	LT4	LT5	LT6	LT7	LT8	LT9	LT10
IL87071	16	35	17	49	9	47	46	61	51	71	5	11	6	3	9	8	4	1	1	1
CD73447	83	23	78	55	226	31	63	77	32	41	12	37	15	11	22	19	12	26	11	19
MYC55895	173	303	13	63	73	220	81	142	171	55	57	17	29	26	54	74	50	15	30	48
MYC38549	24	15	13	3	26	37	11	18	26	23	1	4	3	3	10	15	7	4	5	2
IL48130	40	107	14	161	203	107	64	220	156	169	14	136	58	71	59	25	60	40	37	45
CD5176	50	29	47	107	27	47	21	1	31	32	1	0	7	14	11	6	9	18	2	1
EGFR54526	116	170	74	62	66	27	40	45	201	67	28	49	76	17	28	11	0	11	25	9
HLA65261	10	24	42	33	26	70	17	20	29	32	3	10	6	1	9	1	6	2	5	2
MAPK3906	29	34	10	5	15	9	21	21	33	13	4	2	1	4	8	5	3	1	9	19
MT75322	48	35	8	70	12	44	38	34	44	81	9	12	16	4	7	11	5	34	5	20
ZNF93709	64	35	18	35	45	27	37	13	23	8	13	6	8	5	1	12	14	3	13	11
MT91210	25	78	39	58	120	53	69	32	57	29	22	31	29	8	41	13	2	10	15	9
CD67659	5	27	6	16	18	10	13	12	10	16	6	6	3	7	2	3	2	8	1	3
MAPK94598	206	182	97	170	44	275	108	335	75	171	45	42	38	22	33	30	76	39	38	41
MAPK18403	15	15	71	8	17	31	24	25	35	63	5	5	4	7	6	5	1	9	6	11
IL15363	44	68	16	33	23	21	17	20	26	21	0	7	7	9	28	4	4	9	2	4
BRCA6795	17	116	57	58	17	24	104	12	21	16	21	38	5	10	10	26	8	17	40	16
SLC87479	67	35	23	28	16	55	23	32	25	54	2	2	18	8	7	4	94	7	14	7
MYC9877	74	17	23	8	18	5	44	20	16	19	1	8	7	11	4	5	4	2	3	13
ZNF28809	57	145	140	111	117	407	164	168	140	168	41	67	29	71	70	57	22	38	11	12
KRT23895	517	112	522	85	223	186	146	219	186	72	37	58	12	35	80	113	32	90	33	64
CD94292	5	26	20	18	2	10	8	7	5	21	5	0	10	11	7	8	7	9	7	3
MAPK55485	61	19	14	11	16	6	14	3	25	9	2	9	1	1	6	3	2	2	6	9
TP3191	62	768	212	150	212	143	237	665	116	182	95	61	58	84	79	93	200	160	48	114
MAPK32037	12	25	32	19	18	19	18	1	22	28	5	0	8	1	0	2	3	6	2	4
IL45727	81	49	75	86	48	90	52	78	19	58	19	49	40	45	11	6	10	9	34	17
SLC57081	56	20	46	188	19	72	38	136	58	114	4	12	7	15	6	27	16	26	9	5
KRT88412	79	39	11	8	49	11	71	51	64	39	9	11	7	2	4	2	7	12	4	22
ZNF79599	25	18	16	23	6	10	11	15	32	21	1	4	4	7	1	6	1	1	1	12
TNF60	22	83	100	32	50	64	129	70	161	30	8	17	22	9	60	16	5	41	31	19
TNF44966	124	118	53	21	83	34	168	46	46	70	2	19	10	5	7	24	45	38	42	23
MAPK34141	8	6	8	3	22	12	42	36	9	16	3	2	2	2	3	9	2	0	7	2
CXCL4561	8	17	9	20	5	10	25	14	28	27	3	2	1	4	13	3	10	7	0	7
IL25693	21	55	93	23	26	95	66	75	213	73	31	24	2	20	7	8	13	25	7	10
HLA12909	13	6	22	66	28	55	45	21	15	29	13	3	13	3	4	3	13	7	5	11
MAPK32398	375	220	285	250	193	231	54	97	61	129	48	40	126	126	36	67	72	101	74	82
EGFR80838	102	36	77	90	83	20	69	133	50	49	21	2	23	20	11	14	4	16	11	22
CD6154	25	103	97	17	51	16	27	43	22	48	8	11	13	15	5	32	6	16	3	2
MAPK52015	78	56	211	182	71	26	226	113	71	146	55	5	8	14	14	77	25	25	8	2
MAPK21281	411	60	210	342	88	116	270	107	301	270	32	12	106	50	46	21	88	116	49	91
SLC60767	14	34	12	6	22	11	24	14	20	14	0	2	8	8	18	9	7	6	4	8
TP61038	55	62	20	64	183	74	136	106	54	26	12	53	41	39	57	26	6	12	27	12
IL22228	5	10	8	1	27	8	4	11	9	10	0	2	1	1	4	8	0	5	3	2
CXCL56910	45	12	26	170	51	70	48	131	59	66	22	44	39	21	13	15	108	14	11	9
MT2001	9	8	21	16	6	2	24	8	6	8	3	5	2	1	0	0	3	0	4	0
MYC44843	116	51	185	95	26	70	72	30	5	121	9	31	27	24	13	8	11	13	35	22
MYC80171	13	9	1	1	6	4	4	13	2	14	3	1	0	1	4	4	0	2	1	1
CD86842	44	70	107	50	65	74	62	33	5	79	6	12	7	18	0	13	18	15	19	23
TP13251	78	230	231	38	194	77	185	160	92	85	23	38	8	38	16	29	4	10	4	68
EGFR67274	125	33	157	137	54	55	106	173	43	41	34	6	78	12	58	70	15	67	16	41
SLC40577	12	26	4	41	14	40	4	12	9	23	8	9	10	8	5	11	2	11	20	2
CD39438	37	18	36	15	72	15	100	7	61	112	2	15	11	13	8	4	12	7	5	33
HLA18641	16	65	42	122	125	92	77	78	100	153	35	22	37	14	16	23	30	11	20	4
MT54510	769	147	367	160	38	778	101	122	573	308	6	55	91	23	88	55	49	28	87	62
CD95227	92	79	35	144	115	59	56	138	219	46	26	14	33	14	29	10	25	28	10	43
TP17525	3	13	15	37	22	13	42	14	37	19	21	6	11	4	6	4	1	3	5	7
EGFR21780	101	141	164	27	60	107	14	89	36	45	15	11	8	7	15	14	31	22	10	9
EGFR7466	32	16	20	12	68	13	11	41	12	21	11	7	12	2	6	7	6	12	3	14
BRCA29602	2	24	8	15	5	6	3	17	0	5	4	3	0	0	7	2	5	5	1	1
HLA99563	24	17	7	8	17	6	17	12	10	4	2	3	14	1	5	1	5	1	5	5
TNF63994	107	37	13	54	31	28	45	42	12	57	11	23	13	10	5	5	11	5	19	11
MYC15488	172	30	86	86	197	38	206	140	88	139	70	68	42	31	8	35	35	46	36	109
IL76905	17	30	56	103	51	15	45	13	87	85	14	18	13	12	6	14	6	5	6	9
GPR39289	20	10	21	9	19	23	50	7	72	39	9	0	6	5	1	1	6	5	3	5
ZNF76625	196	194	105	59	158	39	290	103	227	49	72	21	22	54	25	11	39	40	15	13
CXCL95873	5	16	6	0	13	11	15	16	6	7	1	3	2	3	10	0	2	6	3	4
MAPK77229	463	459	104	333	439	229	771	385	201	611	57	51	47	22	53	111	212	123	45	181
MYC31127	71	32	77	71	27	54	22	29	18	32	2	14	13	8	8	7	20	16	7	4
EGFR64538	22	14	51	47	8	38	3	66	41	65	9	3	12	0	1	13	2	14	7	0
GPR82925	5	35	38	27	34	15	6	30	67	39	6	4	8	16	4	1	6	0	4	1
ZNF40036	19	17	14	51	46	13	29	48	22	23	16	1	5	9	7	3	6	1	15	15
MT96029	25	33	30	38	24	14	28	31	51	36	10	2	1	6	10	12	14	6	3	4
MYC40716	70	66	16	142	8	55	107	52	49	72	13	5	38	34	6	16	19	2	25	29
CXCL13377	21	14	33	42	31	15	7	21	14	6	9	2	7	0	12	5	2	5	9	1
BRCA42985	37	57	25	28	34	7	72	6	29	129	15	3	4	22	11	15	18	12	7	15
CD39488	11	20	8	14	15	11	9	8	0	12	1	1	1	5	1	1	6	0	1	7
GPR25343	36	0	21	13	10	9	28	37	35	17	14	4	4	3	3	1	4	4	8	6
GPR88028	11	27	50	45	97	30	110	20	56	68	28	15	12	5	16	32	44	33	4	27
HLA84380	97	81	80	178	43	50	51	3	115	67	11	4	9	10	5	17	23	17	13	15
MAPK25908	72	93	59	36	301	197	100	47	105	96	12	31	6	30	10	24	2	11	17	12
MYC73903	721	2212	634	412	498	303	460	472	336	567	67	143	142	208	146	213	70	56	192	199
MYC14934	72	96	68	122	31	193	171	113	255	161	34	37	35	9	79	20	30	14	30	26
CD56115	1	28	20	26	9	8	9	11	5	22	1	0	4	3	2	0	13	5	7	8
GPR11797	65	44	57	7	15	28	3	47	45	27	1	12	17	2	2	9	16	3	5	4
EGFR31862	227	87	94	51	164	351	36	148	198	352	31	17	8	14	22	32	53	27	58	6
BRCA52358	279	247	295	169	132	210	96	381	5	166	14	77	17	46	13	18	20	44	40	20
EGFR61432	35	22	29	46	22	80	16	8	43	37	11	13	15	16	2	18	17	5	5	7
SLC5922	59	161	35	527	328	101	245	398	276	297	16	9	97	35	69	37	36	43	32	17
MAPK77191	23	85	8	19	38	47	132	5	22	22	8	11	3	8	13	6	4	17	5	8
SLC91043	7	7	7	16	12	10	34	9	16	7	15	5	3	6	1	2	15	5	1	6
MT12121	6	14	16	16	16	13	2	26	12	38	5	5	13	2	3	1	3	7	7	5
IL54931	13	6	6	8	33	1	6	1	6	12	1	3	2	3	2	1	1	7	6	8
HLA88305	41	37	64	58	40	44	45	85	52	60	5	14	21	9	16	17	11	14	4	17
TNF99608	61	80	74	26	82	73	26	52	72	10	47	4	27	9	6	35	42	15	6	13
ZNF7470	22	24	1	18	2	32	32	11	7	19	4	3	0	5	1	7	7	5	2	3
SLC59243	7	5	45	27	24	17	6	11	40	9	5	1	4	8	8	9	1	6	9	3
CXCL58050	37	47	80	51	25	15	42	100	42	6	6	7	6	12	5	1	9	23	20	9
EGFR68781	19	15	25	24	0	34	16	17	7	5	4	12	3	0	4	5	2	3	3	3
CD15128	42	43	50	16	8	35	14	46	37	32	9	9	10	20	3	15	14	1	16	47
TNF38195	418	297	233	177	393	120	348	212	375	365	63	177	111	148	15	55	87	33	118	100
CD813	17	8	17	23	23	4	8	15	1	12	4	2	1	3	7	3	2	1	0	3
ZNF63587	12	20	33	24	35	37	19	10	8	35	6	6	1	15	8	20	18	8	8	4
ZNF88969	10	12	7	4	16	7	11	7	10	26	2	6	4	7	4	3	2	0	3	4
BRCA42199	33	22	33	25	60	26	88	19	91	56	5	4	3	0	7	10	0	1	5	25
HLA70428	3	29	4	8	9	2	4	11	24	11	2	4	1	5	1	5	3	3	0	1
GPR23888	38	63	20	73	102	91	46	42	48	75	15	7	19	31	16	11	8	26	2	13
TP59087	5	37	25	12	2	9	11	33	26	14	4	2	0	4	3	4	1	5	2	2
HLA52092	6	20	26	33	89	212	33	16	70	62	9	10	15	23	14	8	18	3	18	18
TNF47646	52	43	38	26	70	47	6	41	20	18	4	3	0	3	9	15	9	5	1	5
SLC15996	32	25	46	17	25	32	28	35	1	29	19	10	9	17	8	9	7	2	2	9
EGFR50149	185	442	359	468	223	443	324	383	8	207	85	11	29	76	84	30	52	18	42	48
KRT23299	35	9	70	51	71	36	128	80	19	100	21	4	5	1	16	28	1	18	22	13
TP13642	56	51	41	33	29	66	27	20	98	43	9	10	28	13	5	12	12	10	13	10
MT90451	12	23	39	8	51	46	36	96	15	54	5	14	8	33	6	10	7	5	7	22
GPR12807	7	50	16	67	33	43	101	57	46	39	29	5	27	5	10	18	13	19	30	21
CD29061	11	35	9	7	69	15	19	7	13	50	5	4	7	8	19	2	3	4	3	8
CXCL45824	3	16	6	11	6	9	7	8	4	4	3	2	2	2	8	1	7	5	2	5
MT35842	90	135	38	97	62	117	209	54	193	198	18	18	82	24	40	33	54	37	47	25
IL70338	19	67	27	129	68	75	34	25	36	15	14	47	7	7	4	19	20	12	14	20
GPR41767	37	23	14	16	10	16	40	19	4	16	5	8	0	19	7	5	1	2	6	10
CXCL17535	5	6	11	4	11	6	4	9	7	15	4	3	7	5	1	2	2	4	5	8
ZNF60398	46	42	17	26	63	71	53	29	38	38	10	8	3	8	2	9	6	10	18	22
CXCL23971	65	98	84	42	85	129	52	104	92	162	14	22	10	30	39	42	12	43	16	67
GPR57012	114	47	18	13	33	31	24	41	39	59	19	2	12	7	4	26	12	3	4	5
HLA90172	0	18	4	1	22	22	9	2	32	13	1	0	2	3	2	7	1	8	7	4
MAPK86987	38	52	142	100	38	7	43	43	25	81	11	23	22	9	8	22	22	14	10	33
MAPK54623	598	97	192	93	485	113	57	308	310	138	29	54	29	189	51	27	27	14	42	41
IL51400	7	19	5	6	22	14	23	30	12	57	2	7	6	8	6	14	0	2	4	4
CXCL68354	53	49	270	106	155	115	94	68	92	73	12	50	39	15	33	75	18	64	17	20
CD2977	30	16	13	13	52	8	17	12	49	10	1	0	1	4	2	5	7	2	10	6
GPR17279	380	96	49	139	187	80	235	149	269	82	85	63	89	11	39	26	61	26	33	17
SLC77501	12	8	22	3	12	21	58	6	10	21	3	1	3	8	7	10	1	5	10	0
GPR4547	78	105	42	40	56	47	26	84	92	28	9	11	11	7	9	26	15	13	17	12
EGFR37176	45	78	13	11	42	12	40	70	38	39	11	9	12	2	1	6	8	7	8	17
MT40685	47	12	34	39	28	26	15	11	52	50	6	4	6	12	12	5	10	7	9	5
ZNF23222	95	10	64	99	77	61	22	147	126	83	48	4	12	4	23	15	22	15	35	14
BRCA86687	61	82	251	63	38	81	35	80	52	234	35	47	13	11	20	33	19	13	16	47
TNF43492	13	57	33	56	36	34	12	118	29	63	5	7	12	11	11	6	19	1	5	4
KRT74817	19	51	82	119	109	15	28	19	33	54	8	21	28	13	16	12	11	9	20	8
KRT11144	10	56	45	59	45	41	34	18	17	21	11	16	5	9	9	5	4	9	12	7
IL31780	147	545	630	349	167	337	411	268	352	262	100	69	79	108	26	31	52	121	29	366
IL6573	34	22	53	31	37	26	31	42	96	21	5	2	2	7	11	3	0	9	15	6
IL91301	377	164	138	165	33	83	142	70	33	153	21	8	23	8	11	26	56	69	21	46
IL36591	100	117	38	183	77	11	12	26	48	65	4	18	8	2	19	15	9	33	16	1
MAPK5153	311	101	255	81	292	564	72	90	163	168	83	59	21	32	39	61	52	70	15	71
SLC55125	28	40	67	22	24	16	31	13	2	14	14	8	11	10	1	4	3	0	11	5
CD65472	69	123	34	65	44	24	273	101	25	99	24	34	41	8	10	11	10	57	15	10
CD63948	26	25	29	2	39	11	26	33	12	37	14	3	3	3	13	7	9	9	6	11
KRT92243	7	1	10	9	2	13	0	15	1	15	5	1	1	0	1	0	0	5	0	2
MAPK69575	106	80	11	28	92	56	100	114	149	76	19	21	46	8	8	12	5	19	12	24
BRCA5337	4	12	10	6	12	11	26	9	15	9	3	1	6	1	5	3	11	2	9	10
BRCA49310	12	50	9	5	24	22	11	26	44	28	17	5	2	11	5	6	6	1	8	3
IL19017	20	12	21	12	14	14	15	8	7	9	7	4	2	5	2	6	2	6	6	7
CXCL89181	31	25	32	25	13	1	7	7	8	25	10	11	5	5	2	16	2	1	9	2
CD88083	46	70	26	12	29	15	56	24	41	17	3	1	5	7	2	13	6	8	9	6
MT54378	2	1	28	13	19	10	3	19	6	21	6	1	14	2	3	5	0	4	5	0
TP86984	38	44	110	99	28	28	67	15	13	2	15	18	1	5	12	5	6	19	5	8
TNF20544	124	59	7	21	27	95	112	9	40	89	4	38	4	8	6	27	27	20	34	15
IL27028	17	6	21	2	6	5	4	13	27	21	4	2	1	3	5	5	11	2	6	5
TP29648	161	29	111	51	76	162	13	86	65	213	13	32	69	35	22	66	40	57	49	8
EGFR50960	11	12	25	8	31	10	10	17	48	24	5	7	3	5	7	7	3	17	6	1
BRCA18462	4	6	4	2	1	7	2	5	3	0	2	2	0	6	1	1	1	0	1	1
MYC45478	21	4	2	29	28	15	12	11	37	14	1	0	3	2	1	0	0	4	2	12
MYC59542	147	139	201	222	142	134	391	89	534	305	42	31	39	70	100	182	53	16	20	23
BRCA39774	40	39	24	62	25	72	66	62	92	29	11	4	8	59	14	8	11	2	4	10
ZNF42814	584	450	564	778	414	989	1710	609	669	715	296	99	162	28	213	54	22	151	149	371
